행정구역,2017년12월_남자인구수,2017년12월_여자인구수,2017년12월_계,2018년01월_남자인구수,2018년01월_여자인구수,2018년01월_계,2018년02월_남자인구수,2018년02월_여자인구수,2018년02월_계,2018년03월_남자인구수,2018년03월_여자인구수,2018년03월_계,2018년04월_남자인구수,2018년04월_여자인구수,2018년04월_계,2018년05월_남자인구수,2018년05월_여자인구수,2018년05월_계,,,,,,
서울특별시 강북구 인수동(1130566000),7,5,12,5,6,11,5,10,15,11,7,18,4,4,8,11,4,15,,,,,,
서울특별시 도봉구 (1132000000),78,71,149,85,75,160,74,62,136,62,61,123,87,74,161,71,79,150,,,,,,
서울특별시 도봉구 창제1동(1132051100),5,5,10,3,7,10,8,10,18,10,5,15,9,5,14,7,11,18,,,,,,
서울특별시 도봉구 창제2동(1132051200),4,7,11,10,10,20,10,7,17,10,10,20,9,11,20,4,10,14,,,,,,
서울특별시 도봉구 창제3동(1132051300),7,1,8,7,3,10,3,0,3,1,2,3,3,3,6,3,4,7,,,,,,
서울특별시 도봉구 창제4동(1132051400),7,9,16,9,12,21,6,4,10,7,6,13,10,4,14,6,8,14,,,,,,
서울특별시 도봉구 창제5동(1132051500),5,7,12,8,6,14,12,4,16,7,1,8,12,4,16,8,4,12,,,,,,
서울특별시 도봉구 도봉제1동(1132052100),4,3,7,6,1,7,3,4,7,0,3,3,1,5,6,3,6,9,,,,,,
서울특별시 도봉구 도봉제2동(1132052200),1,7,8,5,10,15,7,11,18,3,6,9,9,4,13,5,5,10,,,,,,
서울특별시 도봉구 쌍문제1동(1132066000),6,4,10,6,3,9,4,0,4,2,6,8,5,5,10,4,7,11,,,,,,
서울특별시 도봉구 쌍문제2동(1132067000),7,7,14,7,4,11,3,4,7,3,2,5,5,6,11,4,2,6,,,,,,
서울특별시 도봉구 쌍문제3동(1132068000),5,7,12,3,3,6,3,6,9,5,6,11,2,6,8,4,1,5,,,,,,
서울특별시 도봉구 쌍문제4동(1132068100),2,1,3,5,5,10,2,1,3,0,3,3,2,0,2,3,3,6,,,,,,
