행정구역,2017년12월_남자인구수,2017년12월_여자인구수,2017년12월_계,2018년01월_남자인구수,2018년01월_여자인구수,2018년01월_계,2018년02월_남자인구수,2018년02월_여자인구수,2018년02월_계,2018년03월_남자인구수,2018년03월_여자인구수,2018년03월_계,2018년04월_남자인구수,2018년04월_여자인구수,2018년04월_계,2018년05월_남자인구수,2018년05월_여자인구수,2018년05월_계,,,,,,
서울특별시 송파구 가락2동(1171063200),13,5,18,8,10,18,6,8,14,6,12,18,8,7,15,3,8,11,,,,,,
서울특별시 송파구 문정1동(1171064100),10,7,17,3,5,8,6,7,13,4,7,11,6,8,14,7,1,8,,,,,,
서울특별시 송파구 문정2동(1171064200),11,11,22,14,12,26,10,18,28,6,7,13,13,6,19,19,15,34,,,,,,
서울특별시 송파구 장지동(1171064600),17,11,28,14,14,28,15,6,21,11,7,18,15,12,27,15,10,25,,,,,,
서울특별시 송파구 위례동(1171064700),12,14,26,27,10,37,15,13,28,16,21,37,12,25,37,24,20,44,,,,,,
서울특별시 송파구 잠실본동(1171065000),7,9,16,3,4,7,13,6,19,10,8,18,5,7,12,9,7,16,,,,,,
서울특별시 송파구 잠실2동(1171067000),16,7,23,9,7,16,8,8,16,6,8,14,4,8,12,14,6,20,,,,,,
서울특별시 송파구 잠실3동(1171068000),16,10,26,6,9,15,8,16,24,7,13,20,5,14,19,9,12,21,,,,,,
서울특별시 송파구 잠실4동(1171069000),11,8,19,18,10,28,17,9,26,11,11,22,14,18,32,12,8,20,,,,,,
서울특별시 송파구 잠실6동(1171071000),7,7,14,9,6,15,10,4,14,8,5,13,6,5,11,6,8,14,,,,,,60
서울특별시 송파구 잠실7동(1171072000),5,3,8,3,5,8,6,2,8,5,3,8,2,4,6,2,1,3,,,,,,87
서울특별시 강동구 (1174000000),124,123,247,87,101,221,114,112,226,126,132,258,133,120,253,127,112,239,,,,,,
서울특별시 강동구 강일동(1174051500),8,4,12,10,5,15,6,5,11,6,9,15,5,3,8,6,7,13,,,,,,
서울특별시 강동구 상일동(1174052000),2,0,2,2,3,5,3,1,4,2,2,4,1,3,4,2,1,3,,,,,,
서울특별시 강동구 명일제1동(1174053000),7,4,11,4,3,7,7,3,10,6,4,10,4,5,9,7,2,9,,,,,,
서울특별시 강동구 명일제2동(1174054000),2,5,7,4,3,7,1,3,4,3,0,3,4,5,9,3,4,7,,,,,,
서울특별시 강동구 고덕제1동(1174055000),8,14,22,9,11,20,10,11,21,12,10,22,9,6,15,8,7,15,,,,,,
서울특별시 강동구 고덕제2동(1174056000),0,1,1,0,3,3,2,0,2,1,0,1,2,0,2,2,3,5,,,,,,
서울특별시 강동구 암사제1동(1174057000),7,14,21,9,17,26,7,10,17,9,10,19,12,14,26,5,9,14,,,,,,
서울특별시 강동구 암사제2동(1174058000),8,10,18,5,7,12,3,6,9,2,9,11,7,6,13,9,4,13,,,,,,
서울특별시 강동구 암사제3동(1174059000),4,4,8,5,7,12,7,7,14,6,4,10,3,2,5,6,1,7,,,,,,
서울특별시 강동구 천호제1동(1174060000),6,6,12,8,6,14,6,5,11,10,8,18,12,10,22,6,4,10,,,,,,
서울특별시 강동구 천호제2동(1174061000),11,8,19,6,10,16,9,8,17,17,13,30,11,14,25,9,17,26,,,,,,
서울특별시 강동구 천호제3동(1174062000),16,8,24,7,4,11,9,11,20,8,8,16,15,8,23,10,10,20,,,,,,
서울특별시 강동구 성내제1동(1174064000),7,4,11,3,7,10,8,6,14,9,16,25,10,7,17,10,6,16,,,,,,
서울특별시 강동구 성내제2동(1174065000),16,8,24,3,7,10,7,8,15,12,12,24,6,7,13,10,8,18,,,,,,
서울특별시 강동구 성내제3동(1174066000),6,13,19,3,4,7,9,12,21,7,6,13,7,8,15,13,9,22,,,,,,
서울특별시 강동구 길동(1174068500),12,13,25,0,0,33,10,10,20,11,16,27,17,15,32,15,9,24,,,,,,
서울특별시 강동구 둔촌제1동(1174069000),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
서울특별시 강동구 둔촌제2동(1174070000),4,7,11,8,4,12,10,6,16,5,5,10,8,7,15,6,11,17,,,,,,
